FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,TipoAccidente,Resultado,Temperatura
11/29/2018,Mecanizado,Cruce A Nahualate,14.44327087,-91.37819994,Ruta 3,Zona 3,11/29/2018,14.43650353,-91.37521327,Volcadura,1, 28.31 
12/9/2020,Granel,Vuelta Del Niño Hulera,14.55185012,-91.63570221,Ruta 3,Zona 3,12/9/2020,14.54739889,-91.61304889,Colisión,1, 25.59 
1/21/2019,Mecanizado,Recta Madre Vieja,14.28446115,-91.29718881,Ruta Interna,Zona 2,1/21/2019,14.32730237,-91.06187153,Volcadura,1, 25.68 
12/26/2020,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,12/26/2020,14.2342296,-91.17045562,Volcadura,1, 24.82 
2/19/2019,Tramero,Puente Ixtacapa,14.54984679,-91.43805035,Ruta 3,Zona 3,2/19/2019,14.54572271,-91.44612508,Colisión,1, 27.20 
12/15/2018,Vacío,Cruce A Santo Domingo RI,14.39108942,-91.45657823,Ruta Interna,Zona 3,12/15/2018,14.36220699,-91.64832335,Colisión,1, 26.63 
3/5/2019,Granel,Recta Del Castaño,14.08305412,-90.81634086,Ruta Interna,Zona 1,3/5/2019,14.0740676,-90.78971694,Volcadura,1, 28.34 
3/17/2021,Granel,Gasolinera Texaco Cuyotenango,14.54381849,-91.56783994,Ruta 3,Zona 3,3/17/2021,14.5434899,-91.56787419,Volcadura,1, 26.87 
3/26/2019,Vacío,Canton Chacalte,14.52282587,-91.57909535,Ruta 3,Zona 3,3/25/2019,14.41045343,-91.82269155,Colisión,1, 28.77 
4/12/2019,Granel,Entrada A Guanagazapa,14.20218718,-90.70357642,Ruta 1,Zona 1,4/12/2019,14.20417625,-90.70631381,Volcadura,1, 27.77 
2/15/2019,Granel,Entrada A Guanagazapa,14.20218718,-90.70357642,Ruta 1,Zona 1,2/15/2019,14.20420125,-90.70554749,Volcadura,1, 26.46 
12/15/2020,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,Zona 3,12/15/2020,14.53245978,-91.67582479,Colisión,1, 28.60 
2/12/2020,Granel,FINCA AGUNA,14.35540094,-91.08865328,Ruta 2,Zona 2,2/12/2020,14.34497061,-91.07150301,Colisión,1, 23.34 
1/20/2019,Mecanizado,Finca San Cayetano,14.42125789,-91.36529157,Ruta 3,Zona 3,1/20/2019,14.32729059,-91.0630276,Colisión,1, 25.21 
12/17/2020,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,12/17/2020,14.25278112,-91.20645469,Colisión,1, 23.75 
2/6/2020,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,Zona 2,2/6/2020,14.34718253,-91.06735828,Volcadura,1, 23.70 
1/1/2021,Granel,Cruce Fca. Trebol,14.04622862,-90.61772138,Ruta Interna,Zona 1,1/1/2021,14.04622862,-90.61772138,Volcadura,1, 24.23 
1/20/2021,Vacío,Finca Rincon Alegre,14.43671002,-91.798823,Ruta 3,Zona 3,1/19/2021,14.43102938,-91.80564839,Colisión,1, 26.14 
1/19/2021,Granel,Linea A3 La Maquina,14.3675623,-91.554042,Ruta 3,Zona 3,1/19/2021,14.36866464,-91.55405648,Volcadura,1, 28.62 
1/19/2021,Granel,El Zaguan,14.53572843,-91.52745832,Ruta 3,Zona 3,1/18/2021,14.53397062,-91.49519452,Volcadura,1, 23.86 
1/27/2019,Vacío,Aldea Brito,14.13785142,-90.65670349,Ruta 1,Zona 1,1/27/2019,14.33282406,-91.01286321,Otro,1, 25.69 
12/12/2018,Granel,Entrada A Finca Lorena,14.51967526,-91.41538809,Ruta 3,Zona 3,12/12/2018,14.53533789,-91.4207277,Volcadura,1, 23.14 
1/13/2019,Tramero,Vuelta Del Niño Hulera,14.55185012,-91.63570221,Ruta 3,Zona 3,1/13/2019,14.55507022,-91.63968015,Volcadura,1, 26.37 
12/16/2020,Granel,Aceituno,14.26743033,-90.874233,Ruta 2,Zona 2,12/16/2020,14.26895452,-90.85409453,Otro,1, 24.95 
3/21/2021,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,Zona 3,3/21/2021,14.56243045,-91.68531178,Otro,1, 23.75 
1/27/2019,Granel,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,Zona 3,1/26/2019,14.47315302,-91.75461486,Volcadura,1, 27.52 
1/9/2019,Mecanizado,Finca Maricon,14.54765586,-91.61445701,Ruta 3,Zona 3,1/9/2019,14.5476627,-91.6149514,Colisión,1, 23.42 
2/3/2019,Granel,Entrada A Caballo Blanco,14.42019864,-91.81868845,Ruta 3,Zona 3,2/2/2019,14.41731534,-91.82222618,Volcadura,1, 26.90 
4/7/2020,Vacío,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,Zona 2,4/7/2020,14.306579,-91.04699627,Otro,1, 27.4 
3/11/2019,Mecanizado,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,3/11/2019,14.24355589,-91.19585665,Volcadura,1, 25.61 
4/7/2021,Vacío,Masagua,14.19997204,-90.84957213,Ruta 1,Zona 1,4/7/2021,14.1820696,-90.86472433,Colisión,1, 27.38 
12/10/2020,Granel,Ceiba Cuache,14.29763199,-90.94962156,Ruta 2,Zona 2,12/9/2020,14.29763199,-90.94962156,Volcadura,1, 28.34 
