TransvisadoID,FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,Ubicacion,TipoAccidente,Procedencia,Destino,FechaLiberacion,DañoInfraestructuraVial,Observaciones
37A0E38C-EAA4-4774-8479-BBEA89DBC8A4,30:00.0,Granel,Ceiba Cuache,14.29763199,-90.94962156,Ruta 2,NULL,30:00.0,NULL,NULL,Km. 81+100 CA-2 Circunvalación Siquinalá,Volcadura,Finca Las Rosas,Ing. Magdalena,50:00.0,Ninguna,"Se presto asistencia con señalizacion, para evitar cualquier colisión con otros vehiculos que circulavan por dicha ruta."
2F2C1918-EA3D-4E62-9EA4-84A884736125,36:00.0,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,36:00.0,14.25057268,-91.22532196,NULL,Volcadura,Fca.Parquisimetro,Pantaleon,40:00.0,NULL,NULL
4CCBAD3D-A5A8-4454-961F-9DDF87133845,37:00.0,Mecanizado,Entrada A Finca Peten,14.30104328,-91.38084568,Ruta 3,NULL,30:00.0,14.29341916,-91.37085435,Km.143+000 RD-27,Colisión,Finca Irlanda,Ingenio Palo Gordo,NULL,No,NULL
B574068C-F1AE-4A87-A686-E2CD7ECBF34A,40:00.0,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,NULL,00:00.0,14.3570372,-91.01219035,Km. 90+000 CA-2 Occidente,Volcadura,Fca. El Esfuerzo,Ing. Magdalena,30:00.0,No,"No se hizo congestionamiento vehicular, coordinó el tránsito personal de Provial con apoyo de personal de ing. Magdalena."
7DAB515B-C848-4CD4-8B9B-B5865C59AE3A,06:00.0,Mecanizado,Entrada cañeros Ingenio Concepción,14.32673784,-90.79644489,Ruta 1,NULL,30:00.0,14.32831518,-91.02121374,67+000 CA-9 sur,Colisión,finca Los Encantos,Imgenio Concepcion,27:00.0,NULL,"Según comentó el supervisor que el cañero venía de finca los encantos y se dirigía hacia el ingenio concepción, al llegar a Interplaza vio señalizacion de conos tapando el carril derecho se hizo al carril izquierdo y al llegar al km 67+000, un vehículo tipo camionetia lo impacto por la parte trasera de la jaula cólera quedando el piloto atrapado en los hierros retorcidos de la camionetia llegaron los bomberos y lo rescataron y fue trasladado hacia el hospital nacional de escuintla, el piloto del cabezal fue consignando a la estación policíaca de escuintla, mientras se esclarece el hecho, el piloto de la camionetia no portaba documentos de identificación quedándo con custodia en el hospital."
92385994-DBA3-44F3-8FE4-8AEA247E5224,00:00.0,Vacío,Linea A3 La Maquina,14.3675623,-91.554042,Ruta 3,NULL,00:00.0,14.28048145,-91.64220467,KM 207+900 RD-7,Colisión,Ingenio Magdalena,Finca El Carmen,NULL,No,NULL
043D79EA-21B8-437E-B4E2-F3309CE93EB2,16:00.0,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,NULL,00:00.0,14.56515836,-91.68637789,Km185+500 CA2 occidente,Volcadura,Finca Baquilito,Ingenio El Pilar,NULL,NULL,NULL
5F98D8F9-EDFB-4716-82B1-DA23892EA0EE,15:00.0,Granel,Casco Tehuantepec,14.1708,-91.1026,Ruta Interna,Zona 2,15:00.0,14.13523684,-90.98674637,S/k cerca de la pollera,Otro,Finca El Retiro,Ingenio Trinidad,14:00.0,Nada,No sé obtuvieron datos de las jaulas debido a que ya se las habían llevado.
5FF12C39-337D-4271-959D-ADAD20EF2067,24:00.0,Vacío,Entrada Principal Ingenio Santa Ana,14.26951288,-90.82747751,Ruta 2,NULL,25:00.0,14.26475542,-90.83840474,"Km. 66+000 CA-2 occidente, cerca de retorno ing. Santa Ana",Volcadura,Ing. Madre Tierra,Fca. La Encantadora,NULL,NULL,"El paso de vehículos por el lugar continúo con normalidad debido a que la carretera cuenta con dos carriles para circular en la misma dirección. No se provocó congestionamiento de tránsito. Personal de PROVIAL y del ingenio apoyaron en la coordinación del tránsito. No se reportan lesionados, solo daños materiales"
A2E12B8A-5B89-4EBD-B1A0-9F1EC6249D10,30:00.0,Granel,Entrada Finca Concepción,14.54190848,-91.57894764,Ruta 3,NULL,30:00.0,14.54261892,-91.5872954,KN168+600 CA2 occidente,Colisión,Finca Rio Rico,Ingenio El Pilar,NULL,No,Segun de la motocicleta segun curiosos contaron q ai estava estacionada cuando fue el accidente ya q no se pudo obtener mejor informacion porque n estaba el dueño en el lugar
